case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
0,1,0.046447739597409,0.046447739597409,0.9275560758545142,0,0,0,0.8811083362571052,1,0,0,0,0,0.0
1,1,0.0519024221517571,0.0519024221517571,0.3964074562994177,1,1,0,0.3445050341476606,2,1,1,0,0,0.875653653702757
2,0,0.0568120081461028,0.0568120081461028,0.1764138526184039,2,2,0,0.1196018444723011,3,2,2,0,0,0.3395954481533149
3,1,0.073554764727461,0.073554764727461,1.774781033761666,3,3,0,1.701226269034205,4,3,2,1,0,0.10285908789094289
4,2,0.0758336674954812,0.0758336674954812,1.6342874244293155,4,4,0,1.5584537569338344,5,4,3,1,0,1.698947366266185
5,2,0.0912431272926433,0.0912431272926433,0.180396845395686,5,5,0,0.0891537181030427,6,5,3,1,1,1.5430442971366722
6,0,0.0943524500466121,0.0943524500466121,1.0944613051405072,6,6,0,1.000108855093895,7,6,3,1,2,0.08604439534907392
7,0,0.0964787788146954,0.0964787788146954,0.2540232822929535,7,7,0,0.1575445034782581,8,7,3,2,2,0.9979825263258117
8,0,0.0979523568242212,0.0979523568242212,0.2003633749254225,8,8,0,0.1024110181012013,9,8,3,3,2,0.1560709254687323
9,0,0.0990872165922718,0.0990872165922718,0.1313612461685317,9,9,0,0.0322740295762599,10,9,3,4,2,0.10127615833315069
10,0,0.1091855536831327,0.1091855536831327,0.293609648999976,10,10,0,0.18442409531684328,11,10,3,5,2,0.02217569248539901
11,0,0.1398762171387946,0.1398762171387946,0.6556095927289332,9,10,0,0.5157333755901385,12,10,3,5,2,0.15373343186118138
12,1,0.1452560842803082,0.1452560842803082,0.1831085907020431,11,11,0,0.037852506421734905,13,11,3,6,2,0.5103535084486249
13,0,0.149966514753817,0.149966514753817,0.2660575421069649,12,12,0,0.11609102735314791,14,12,4,6,2,0.0331420759482261
14,1,0.1577340005561802,0.1577340005561802,0.7331669255664638,13,13,0,0.5754329250102836,15,13,4,7,2,0.10832354155078472
15,1,0.1767886590698184,0.1767886590698184,1.0705336649332602,2,13,0,0.8937450058634417,16,13,5,6,2,0.5563782664966455
16,0,0.1893481931624325,0.1893481931624325,0.3052217960065663,5,12,0,0.11587360284413378,17,12,5,6,1,0.8811854717708276
17,1,0.2049627688736694,0.2049627688736694,0.7297966019841026,8,12,0,0.5248338331104332,18,12,5,6,1,0.10025902713289689
18,0,0.2164106056480855,0.2164106056480855,0.5290766938419327,11,13,0,0.31266608819384717,19,13,6,6,1,0.5133859963360171
19,0,0.2415136793285131,0.2415136793285131,0.5876071843030835,14,14,0,0.34609350497457037,20,14,6,7,1,0.2875630145134196
20,0,0.2494163587825838,0.2494163587825838,0.5328570039522689,15,15,0,0.28344064516968503,21,15,6,8,1,0.3381908255204996
21,1,0.2720733321014066,0.2720733321014066,0.780474573289763,7,14,0,0.5084012411883564,22,14,6,7,1,0.26078367185086226
22,0,0.2803954846983727,0.2803954846983727,1.4112563097728537,12,15,0,1.130860825074481,23,15,7,7,1,0.5000790885913903
23,0,0.28186456031785,0.28186456031785,0.5381757444749511,16,16,0,0.2563111841571011,24,16,7,8,1,1.1293917494550036
24,1,0.2831162153017528,0.2831162153017528,0.7557223068372793,17,17,0,0.47260609153552646,25,17,7,9,1,0.2550595291731983
25,1,0.2848257439116481,0.2848257439116481,1.3105590877364368,18,18,0,1.0257333438247886,26,18,8,9,1,0.47089656292563115
26,0,0.2856692110957186,0.2856692110957186,0.4669355129750556,19,19,0,0.181266301879337,27,19,9,9,1,1.0248898766407182
27,0,0.2917128574256066,0.2917128574256066,0.4179277380398486,20,20,0,0.12621488061424202,28,20,9,10,1,0.175222655549449
28,0,0.295721001314416,0.295721001314416,0.539897898224347,10,20,0,0.244176896909931,29,20,9,10,1,0.12220673672543264
29,2,0.3301543474341362,0.3301543474341362,1.7670764957532363,5,20,0,1.4369221483191001,30,20,9,10,1,0.2097435507902108
