,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
0,5.0,184.68544214734467,179.68544214734467,0,0,0,0,0
1,7.0,573.6335682660673,566.6335682660673,1,1,1,0,0
2,11.0,759.4872352881348,748.4872352881348,2,2,1,1,0
3,12.0,474.8226337362633,462.8226337362633,3,3,1,1,1
4,27.0,146.75417698806206,119.75417698806206,4,4,2,1,1
5,30.0,228.66836196215507,198.66836196215507,5,5,2,1,2
6,34.0,222.678327740938,188.678327740938,6,6,3,1,2
7,35.0,333.0722236469576,298.0722236469576,7,7,4,1,2
8,43.0,621.2880266222226,578.2880266222226,8,8,5,1,2
9,45.0,213.61687792708693,168.61687792708693,9,9,6,1,2
10,58.0,664.7239931042968,606.7239931042968,10,10,7,1,2
11,59.0,290.56354339977054,231.56354339977054,11,11,7,2,2
12,61.0,695.6648761019644,634.6648761019644,12,12,8,2,2
13,73.0,332.6443957372667,259.6443957372667,13,13,8,3,2
14,83.0,847.0822276069796,764.0822276069796,14,14,9,3,2
15,86.0,331.063787294548,245.06378729454798,15,15,10,3,2
16,99.0,254.02091424647313,155.02091424647313,16,16,11,3,2
17,110.0,314.9559097959309,204.9559097959309,17,17,11,3,3
18,115.0,764.9712298414588,649.9712298414588,18,18,12,3,3
19,119.0,230.70317833582578,111.70317833582578,19,19,12,4,3
20,123.0,200.3894071241641,77.38940712416411,20,20,13,4,3
21,127.0,563.3449273120134,436.3449273120134,21,21,14,4,3
22,129.0,306.1981676417338,177.1981676417338,22,22,15,4,3
23,169.0,637.1756433240378,468.17564332403776,22,23,16,4,2
24,170.0,445.1387348919547,275.1387348919547,23,24,16,5,2
25,179.0,290.0439807682028,111.0439807682028,24,25,17,5,2
26,186.0,313.2965966571237,127.2965966571237,24,26,17,5,2
27,192.0,219.1084902523706,27.108490252370586,25,27,18,5,2
28,198.0,350.3975660076063,152.39756600760631,26,28,19,5,2
29,203.0,326.0938042248576,123.09380422485759,26,29,19,5,2
30,213.0,350.2656594530725,137.2656594530725,27,30,20,5,2
31,215.0,220.2940848528238,5.294084852823801,27,31,20,5,2
32,239.0,831.6751856303885,592.6751856303885,23,32,16,5,2
33,243.0,475.2267981045615,232.2267981045615,24,33,16,6,2
34,262.0,577.684153046947,315.684153046947,24,34,17,6,1
35,283.0,623.503290327764,340.50329032776403,25,35,18,6,1
36,284.0,309.1275145628074,25.12751456280739,26,36,18,6,2
37,294.0,512.2236716453317,218.2236716453317,25,37,16,6,3
38,299.0,435.3076954516187,136.3076954516187,26,38,16,6,4
39,313.0,1456.1530825059554,1143.1530825059554,25,39,15,6,4
40,317.0,466.9407718942393,149.94077189423928,24,40,14,6,4
41,319.0,706.3071764720498,387.30717647204983,25,41,15,6,4
42,322.0,575.6297023535867,253.6297023535867,26,42,16,6,4
43,322.00001,569.491918260915,247.491908260915,27,43,17,6,4
44,325.00001,1380.5936344120148,1055.5936244120148,28,44,18,6,4
45,327.00001,533.1373310424253,206.13732104242536,28,45,17,7,4
46,345.00001,717.7996942693942,372.7996842693942,26,46,15,7,4
47,345.00001999999995,511.24689127803396,166.246871278034,27,47,16,7,4
48,360.00001999999995,440.71639276590474,80.7163727659048,26,48,15,7,4
49,381.00001999999995,897.3984205967574,516.3984005967575,27,49,15,7,5
50,392.00001999999995,554.2908914457503,162.29087144575033,28,50,16,7,5
51,397.00001999999995,500.5571028749949,103.55708287499493,29,51,17,7,5
52,399.00001999999995,687.2558343867311,288.2558143867311,30,52,18,7,5
