arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
1,1,0.0,89.53781110567427,1,89.53781110567427,0,1,0,0.0,0.0,0.0,0.0
2,0,5.0,121.36359850272922,2,116.36359850272922,1,1,0,84.53781110567427,0.0,84.53781110567427,0.0
3,2,7.0,261.55027713312535,3,254.55027713312535,1,1,1,114.36359850272922,114.36359850272922,82.53781110567427,0.0
4,1,11.0,83.99528708426162,4,72.99528708426162,1,2,1,250.55027713312535,110.36359850272922,78.53781110567427,250.55027713312535
5,2,12.0,61.795479900480935,5,49.795479900480935,1,2,2,71.99528708426162,109.36359850272922,71.99528708426162,249.55027713312535
6,1,27.0,58.28517632645094,6,31.285176326450937,1,3,2,34.795479900480935,94.36359850272922,56.99528708426162,34.795479900480935
7,1,30.0,155.96421553215112,7,125.96421553215112,1,4,2,28.28517632645094,91.36359850272922,28.285176326450937,31.795479900480935
8,1,34.0,432.1530726287739,8,398.1530726287739,1,5,2,121.96421553215112,87.36359850272922,121.96421553215112,27.795479900480935
9,1,35.0,261.85035594318686,9,226.85035594318686,1,6,2,397.1530726287739,86.36359850272922,397.1530726287739,26.795479900480935
10,1,43.0,202.16219568192687,10,159.16219568192687,1,7,2,218.85035594318683,78.36359850272922,218.85035594318686,18.795479900480935
11,0,45.0,378.83373274463645,11,333.83373274463645,2,7,2,157.16219568192687,76.36359850272922,157.16219568192687,16.795479900480935
12,1,58.0,319.80385027165727,12,261.80385027165727,2,8,2,320.83373274463645,320.83373274463645,144.16219568192687,3.7954799004809345
13,0,59.0,102.65053425911918,12,43.65053425911918,3,7,2,260.80385027165727,319.83373274463645,260.80385027165727,2.7954799004809345
14,1,61.0,277.42762302704216,13,216.42762302704216,3,8,2,41.650534259119176,41.65053425911918,258.80385027165727,0.7954799004809345
15,1,73.0,214.76910648687698,13,141.76910648687698,3,9,1,204.4276230270422,29.650534259119183,204.42762302704216,0.0
16,1,83.0,273.26338316661895,14,190.26338316661895,3,10,1,131.76910648687698,19.650534259119183,131.76910648687698,0.0
17,2,86.0,501.383300558344,14,415.383300558344,3,9,2,187.26338316661895,16.650534259119183,187.26338316661895,0.0
18,1,99.0,1018.6364860674466,14,919.6364860674466,3,9,2,402.383300558344,3.6505342591191834,174.26338316661895,402.383300558344
19,0,110.0,333.6651070643604,14,223.66510706436043,3,9,2,908.6364860674466,0.0,908.6364860674466,391.383300558344
20,1,115.0,180.57319126481912,15,65.57319126481912,3,10,2,218.66510706436043,218.66510706436043,903.6364860674466,386.383300558344
21,1,119.0,256.07026109518654,16,137.07026109518654,3,11,2,61.573191264819116,214.66510706436043,61.573191264819116,382.383300558344
22,1,123.0,343.07287946855445,16,220.07287946855445,2,12,2,133.0702610951865,210.66510706436043,133.07026109518654,378.383300558344
23,1,127.0,795.3773315924632,17,668.3773315924632,2,13,2,216.07287946855448,206.66510706436043,216.07287946855445,374.383300558344
24,0,129.0,188.47711135392493,18,59.477111353924926,3,13,2,666.3773315924632,204.66510706436043,666.3773315924632,372.383300558344
25,1,169.0,220.23415222135785,18,51.234152221357846,3,13,2,19.477111353924926,19.477111353924926,626.3773315924632,332.383300558344
26,1,170.0,700.3937713157345,19,530.3937713157345,3,14,2,50.23415222135784,18.477111353924926,50.234152221357846,331.383300558344
27,1,179.0,247.90140781038454,20,68.90140781038454,3,15,2,521.3937713157345,9.477111353924926,521.3937713157345,322.383300558344
28,1,186.0,219.7743184130764,20,33.7743184130764,3,15,2,61.90140781038454,2.4771113539249257,61.90140781038454,315.383300558344
29,1,192.0,369.02897971284415,20,177.02897971284415,2,16,2,27.774318413076408,0.0,27.7743184130764,309.383300558344
30,1,198.0,328.9221206072164,21,130.9221206072164,2,17,2,171.02897971284412,0.0,171.02897971284415,303.383300558344
31,1,203.0,278.02079784477394,21,75.02079784477394,2,17,2,125.92212060721641,0.0,125.92212060721641,298.383300558344
