arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
1,1,0.0,133.6059485082086,1,133.6059485082086,0,1,0,0.0,0.0,0.0,0.0
2,0,5.0,536.9022609421926,2,531.9022609421926,1,1,0,128.6059485082086,0.0,128.6059485082086,0.0
3,2,7.0,114.11274947106271,3,107.11274947106271,1,1,1,529.9022609421926,529.9022609421926,126.6059485082086,0.0
4,1,11.0,387.0666405458428,4,376.0666405458428,1,2,1,103.11274947106271,525.9022609421926,122.6059485082086,103.11274947106271
5,2,12.0,30.067635406173245,5,18.067635406173245,1,2,2,375.0666405458428,524.9022609421926,375.0666405458428,102.11274947106271
6,1,27.0,499.8612709700392,6,472.8612709700392,1,3,2,3.0676354061732454,509.9022609421926,360.0666405458428,3.0676354061732454
7,1,30.0,113.77855518587077,7,83.77855518587077,1,4,2,469.8612709700392,506.9022609421926,469.8612709700392,0.06763540617324537
8,1,34.0,295.32167424708086,7,261.32167424708086,1,5,1,79.77855518587077,502.9022609421926,79.77855518587077,0.0
9,1,35.0,206.50214208485508,8,171.50214208485508,1,6,1,260.32167424708086,501.9022609421926,260.32167424708086,0.0
10,1,43.0,519.7333004879354,9,476.73330048793537,1,7,1,163.50214208485508,493.9022609421926,163.50214208485508,0.0
11,0,45.0,648.2078051031001,10,603.2078051031001,2,7,1,474.7333004879354,491.9022609421926,474.73330048793537,0.0
12,1,58.0,206.55871237696803,11,148.55871237696803,2,8,1,590.2078051031001,590.2078051031001,461.73330048793537,0.0
13,0,59.0,691.5307785062564,12,632.5307785062564,3,8,1,147.55871237696803,589.2078051031001,147.55871237696803,0.0
14,1,61.0,239.1115258148194,13,178.1115258148194,3,9,1,630.5307785062564,630.5307785062564,145.55871237696803,0.0
15,1,73.0,403.6363709838497,14,330.6363709838497,3,10,1,166.1115258148194,618.5307785062564,166.1115258148194,0.0
16,1,83.0,147.02540067859678,15,64.02540067859678,3,11,1,320.6363709838497,608.5307785062564,320.6363709838497,0.0
17,2,86.0,235.38139619459986,16,149.38139619459986,3,11,2,61.02540067859678,605.5307785062564,61.02540067859678,0.0
18,1,99.0,254.9401480227594,17,155.9401480227594,3,12,2,136.38139619459986,592.5307785062564,48.02540067859678,136.38139619459986
