arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
1,1,0.0,900.6219378051153,1,900.6219378051153,0,1,0,0.0,0.0,0.0,0.0
2,0,5.0,359.2249247325278,2,354.2249247325278,1,1,0,895.6219378051153,0.0,895.6219378051153,0.0
3,2,7.0,136.7952192577015,3,129.7952192577015,1,1,1,352.2249247325278,352.2249247325278,893.6219378051153,0.0
4,1,11.0,282.98052498740367,4,271.98052498740367,1,2,1,125.79521925770149,348.2249247325278,889.6219378051153,125.79521925770149
5,2,12.0,82.14749655298776,5,70.14749655298776,1,2,2,270.98052498740367,347.2249247325278,270.98052498740367,124.79521925770149
6,1,27.0,243.02594577431526,6,216.02594577431526,1,3,2,55.14749655298776,332.2249247325278,255.98052498740367,55.14749655298776
7,1,30.0,181.14692015223952,7,151.14692015223952,1,4,2,213.02594577431526,329.2249247325278,213.02594577431526,52.14749655298776
8,1,34.0,305.13160888812365,8,271.13160888812365,1,5,2,147.14692015223952,325.2249247325278,147.14692015223952,48.14749655298776
9,1,35.0,310.944893980948,9,275.944893980948,1,6,2,270.13160888812365,324.2249247325278,270.13160888812365,47.14749655298776
10,1,43.0,223.60522062711905,10,180.60522062711905,1,7,2,267.944893980948,316.2249247325278,267.944893980948,39.14749655298776
11,0,45.0,510.74877530216975,11,465.74877530216975,2,7,2,178.60522062711905,314.2249247325278,178.60522062711905,37.14749655298776
12,1,58.0,206.4121208655862,12,148.4121208655862,2,8,2,452.74877530216975,452.74877530216975,165.60522062711905,24.14749655298776
13,0,59.0,531.9878160997739,13,472.9878160997739,3,8,2,147.4121208655862,451.74877530216975,147.4121208655862,23.14749655298776
14,1,61.0,175.70293669391776,14,114.70293669391776,3,9,2,470.9878160997739,470.9878160997739,145.4121208655862,21.14749655298776
15,1,73.0,875.281468056075,15,802.281468056075,3,10,2,102.70293669391776,458.9878160997739,102.70293669391776,9.14749655298776
16,1,83.0,226.90382968115702,15,143.90382968115702,3,11,1,792.281468056075,448.9878160997739,792.281468056075,0.0
17,2,86.0,281.73405340298416,16,195.73405340298416,3,11,2,140.90382968115702,445.9878160997739,140.90382968115702,0.0
18,1,99.0,303.8552980797049,17,204.85529807970488,3,12,2,182.73405340298416,432.9878160997739,127.90382968115702,182.73405340298416
19,0,110.0,766.307220661295,18,656.307220661295,4,12,2,193.8552980797049,421.9878160997739,193.85529807970488,171.73405340298416
